,ID,Category,ID Category,Asset ID,Asset Name,Purchase Date,Cost (Finance),Cost (GA & Supply Chain),PIC,Department,Site,ID Site,Brand,Model,Serial Number,Notes,Status,Price
475,FA438,Laptop and Komp,III,FA438/III/03,"Monitor Dahua 22""",10-Oct-25,"Rp926,660","Rp484,000",,HRGA & Legal,Deltamas 2,3,Dahua,,,,Active,
476,,Machine and Tooling,V,/V/02,Facemill 22 Cutter 63 (Insert SEKT12),21-Aug-25,,"Rp583,560",,Supply Chain,Deltamas 1,2,,,,,Active,
476,FA439,Laptop and Komp,III,FA439/III/03,Lenovo Ideapad Slim 3 i3,16-Oct-25,"Rp5,751,660","Rp336,000",Silmi,Finance & Accounting,Deltamas 2,3,Lenovo,,,,Active,
477,,Machine and Tooling,V,/V/02,Holder APMT 25-150,21-Aug-25,,"Rp324,370",,Supply Chain,Deltamas 1,2,,,,,Active,
477,FA440,Elektronik,I,FA440/I/02,Showcase Gea Expo 26C,20-Oct-25,"Rp3,178,600","Rp428,000",Rino,HRGA & Legal,Deltamas 1,2,Gea,,,,Active,
478,,Machine and Tooling,V,/V/02,Holder APMT 32-300,21-Aug-25,,"Rp1,350,000",,Supply Chain,Deltamas 1,2,,,,,Active,
478,FA441,Elektronik,I,FA441/I/03,TP-Link TL-MR100 | 300 Mbps MR105 MR6400,03-Oct-25,"Rp538,400","Rp4,850,000",,HRGA & Legal,Deltamas 2,3,TP Link,TL-MR100,,,Active,
479,,Machine and Tooling,V,/V/02,Arbor BT50 FBM 22-48-350,21-Aug-25,,"Rp3,100,000",,Supply Chain,Deltamas 1,2,,,,,Active,
480,,Machine and Tooling,V,/V/02,Arbor BT50 er 20-150,21-Aug-25,,"Rp1,550,000",,Supply Chain,Deltamas 1,2,,,,,Active,
481,,Machine and Tooling,V,/V/02,Holder Ballnose 20 x 200 R10,04-Sep-25,"Rp577,020","Rp1,163,847",,Supply Chain,Deltamas 1,2,,,,,Active,
482,,Machine and Tooling,V,/V/02,Holder Ballnose 16 x 150 R8,04-Sep-25,"Rp467,550","Rp943,040",,Supply Chain,Deltamas 1,2,,,,,Active,
483,,Machine and Tooling,V,/V/02,Holder EXM-6063R-HF-22,08-Sep-25,,"Rp4,641,000",,Supply Chain,Deltamas 1,2,,,,,Active,
484,FA432,Machine and Tooling,V,FA432/V/02,"Mesin Gerinda 4"" ""BOSCH""",23-Sep-25,,"Rp450,000",,Supply Chain,Deltamas 1,2,,,,,Active,
485,FA433,Machine and Tooling,V,FA433/V/02,"Kabel Roll 25M ""KRISBOW""",23-Sep-25,,"Rp900,000",,Supply Chain,Deltamas 1,2,,,,,Active,
486,FA434,Elektronik,I,FA434/I/03,TP-Link TL-MR100 | 300 Mbps MR105 MR6400,03-Oct-25,,"Rp538,400",,HRGA & Legal,Deltamas 2,3,TP Link,TL-MR100,,,Active,
487,FA435,Laptop and Komp,III,FA435/III/01,Acer Nitro V 15 I9 13900H 8 / 16 GB 512GB,10-Oct-25,"Rp17,442,700","Rp18,399,000",,Engineering,BSD,1,Acer,Acer Nitro V15,,,Active,
